Gtype 1
Gr1_inner 8
Gr1_outer 61
Gr2_inner 8
Gr2_outer 61
Gdx 2.07336
Gdy 2.07336
Gdz 20.05
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 1.95
Gcrystal_dy 1.95
Gcrystal_dz 20
Gcarbon_gap 0.025
Greflective_foil_thickness 0.0066
Gtedlar_thickness 0.00508
carbon_frame_style 1
carbon_frame_depth 2.0
carbon_face_lip 0.1
Gair_gap 0
Gmaterial 0.5
Gcolor_R 0
Gcolor_G 0
Gcolor_B 1
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 2 35 0 -55 11 -185 1.95 1.95 20 0 0 0
Tower 0 3 34 0 -53 9 -185 1.95 1.95 20 0 0 0
Tower 0 3 35 0 -53 11 -185 1.95 1.95 20 0 0 0
Tower 0 2 36 0 -55 13 -185 1.95 1.95 20 0 0 0
Tower 0 2 37 0 -55 15 -185 1.95 1.95 20 0 0 0
Tower 0 3 36 0 -53 13 -185 1.95 1.95 20 0 0 0
Tower 0 3 37 0 -53 15 -185 1.95 1.95 20 0 0 0
Tower 0 2 38 0 -55 17 -185 1.95 1.95 20 0 0 0
Tower 0 2 39 0 -55 19 -185 1.95 1.95 20 0 0 0
Tower 0 3 38 0 -53 17 -185 1.95 1.95 20 0 0 0
Tower 0 3 39 0 -53 19 -185 1.95 1.95 20 0 0 0
Tower 0 2 40 0 -55 21 -185 1.95 1.95 20 0 0 0
Tower 0 2 41 0 -55 23 -185 1.95 1.95 20 0 0 0
Tower 0 3 40 0 -53 21 -185 1.95 1.95 20 0 0 0
Tower 0 3 41 0 -53 23 -185 1.95 1.95 20 0 0 0
Tower 0 2 42 0 -55 25 -185 1.95 1.95 20 0 0 0
Tower 0 2 43 0 -55 27 -185 1.95 1.95 20 0 0 0
Tower 0 3 42 0 -53 25 -185 1.95 1.95 20 0 0 0
Tower 0 3 43 0 -53 27 -185 1.95 1.95 20 0 0 0
Tower 0 4 12 0 -51 -35 -185 1.95 1.95 20 0 0 0
Tower 0 4 13 0 -51 -33 -185 1.95 1.95 20 0 0 0
Tower 0 5 12 0 -49 -35 -185 1.95 1.95 20 0 0 0
Tower 0 5 13 0 -49 -33 -185 1.95 1.95 20 0 0 0
Tower 0 4 14 0 -51 -31 -185 1.95 1.95 20 0 0 0
Tower 0 4 15 0 -51 -29 -185 1.95 1.95 20 0 0 0
Tower 0 5 14 0 -49 -31 -185 1.95 1.95 20 0 0 0
Tower 0 5 15 0 -49 -29 -185 1.95 1.95 20 0 0 0
Tower 0 4 16 0 -51 -27 -185 1.95 1.95 20 0 0 0
Tower 0 4 17 0 -51 -25 -185 1.95 1.95 20 0 0 0
Tower 0 5 16 0 -49 -27 -185 1.95 1.95 20 0 0 0
Tower 0 5 17 0 -49 -25 -185 1.95 1.95 20 0 0 0
Tower 0 4 18 0 -51 -23 -185 1.95 1.95 20 0 0 0
Tower 0 4 19 0 -51 -21 -185 1.95 1.95 20 0 0 0
Tower 0 5 18 0 -49 -23 -185 1.95 1.95 20 0 0 0
Tower 0 5 19 0 -49 -21 -185 1.95 1.95 20 0 0 0
Tower 0 4 20 0 -51 -19 -185 1.95 1.95 20 0 0 0
Tower 0 4 21 0 -51 -17 -185 1.95 1.95 20 0 0 0
Tower 0 5 20 0 -49 -19 -185 1.95 1.95 20 0 0 0
Tower 0 5 21 0 -49 -17 -185 1.95 1.95 20 0 0 0
Tower 0 4 22 0 -51 -15 -185 1.95 1.95 20 0 0 0
Tower 0 4 23 0 -51 -13 -185 1.95 1.95 20 0 0 0
Tower 0 5 22 0 -49 -15 -185 1.95 1.95 20 0 0 0
Tower 0 5 23 0 -49 -13 -185 1.95 1.95 20 0 0 0
Tower 0 4 24 0 -51 -11 -185 1.95 1.95 20 0 0 0
Tower 0 4 25 0 -51 -9 -185 1.95 1.95 20 0 0 0
Tower 0 5 24 0 -49 -11 -185 1.95 1.95 20 0 0 0
Tower 0 5 25 0 -49 -9 -185 1.95 1.95 20 0 0 0
Tower 0 4 26 0 -51 -7 -185 1.95 1.95 20 0 0 0
Tower 0 4 27 0 -51 -5 -185 1.95 1.95 20 0 0 0
Tower 0 5 26 0 -49 -7 -185 1.95 1.95 20 0 0 0
Tower 0 5 27 0 -49 -5 -185 1.95 1.95 20 0 0 0
Tower 0 4 28 0 -51 -3 -185 1.95 1.95 20 0 0 0
Tower 0 4 29 0 -51 -1 -185 1.95 1.95 20 0 0 0
Tower 0 5 28 0 -49 -3 -185 1.95 1.95 20 0 0 0
Tower 0 5 29 0 -49 -1 -185 1.95 1.95 20 0 0 0
Tower 0 4 30 0 -51 1 -185 1.95 1.95 20 0 0 0
Tower 0 4 31 0 -51 3 -185 1.95 1.95 20 0 0 0
Tower 0 5 30 0 -49 1 -185 1.95 1.95 20 0 0 0
Tower 0 5 31 0 -49 3 -185 1.95 1.95 20 0 0 0
Tower 0 4 32 0 -51 5 -185 1.95 1.95 20 0 0 0
Tower 0 4 33 0 -51 7 -185 1.95 1.95 20 0 0 0
Tower 0 5 32 0 -49 5 -185 1.95 1.95 20 0 0 0
Tower 0 5 33 0 -49 7 -185 1.95 1.95 20 0 0 0
Tower 0 4 34 0 -51 9 -185 1.95 1.95 20 0 0 0
Tower 0 4 35 0 -51 11 -185 1.95 1.95 20 0 0 0
Tower 0 5 34 0 -49 9 -185 1.95 1.95 20 0 0 0
Tower 0 5 35 0 -49 11 -185 1.95 1.95 20 0 0 0
Tower 0 4 36 0 -51 13 -185 1.95 1.95 20 0 0 0
Tower 0 4 37 0 -51 15 -185 1.95 1.95 20 0 0 0
Tower 0 5 36 0 -49 13 -185 1.95 1.95 20 0 0 0
Tower 0 5 37 0 -49 15 -185 1.95 1.95 20 0 0 0
Tower 0 4 38 0 -51 17 -185 1.95 1.95 20 0 0 0
Tower 0 4 39 0 -51 19 -185 1.95 1.95 20 0 0 0
Tower 0 5 38 0 -49 17 -185 1.95 1.95 20 0 0 0
Tower 0 5 39 0 -49 19 -185 1.95 1.95 20 0 0 0
Tower 0 4 40 0 -51 21 -185 1.95 1.95 20 0 0 0
Tower 0 4 41 0 -51 23 -185 1.95 1.95 20 0 0 0
Tower 0 5 40 0 -49 21 -185 1.95 1.95 20 0 0 0
Tower 0 5 41 0 -49 23 -185 1.95 1.95 20 0 0 0
Tower 0 4 42 0 -51 25 -185 1.95 1.95 20 0 0 0
Tower 0 4 43 0 -51 27 -185 1.95 1.95 20 0 0 0
Tower 0 5 42 0 -49 25 -185 1.95 1.95 20 0 0 0
Tower 0 5 43 0 -49 27 -185 1.95 1.95 20 0 0 0
Tower 0 4 44 0 -51 29 -185 1.95 1.95 20 0 0 0
Tower 0 4 45 0 -51 31 -185 1.95 1.95 20 0 0 0
Tower 0 5 44 0 -49 29 -185 1.95 1.95 20 0 0 0
Tower 0 5 45 0 -49 31 -185 1.95 1.95 20 0 0 0
Tower 0 4 46 0 -51 33 -185 1.95 1.95 20 0 0 0
Tower 0 4 47 0 -51 35 -185 1.95 1.95 20 0 0 0
Tower 0 5 46 0 -49 33 -185 1.95 1.95 20 0 0 0
Tower 0 5 47 0 -49 35 -185 1.95 1.95 20 0 0 0
Tower 0 6 10 0 -47 -39 -185 1.95 1.95 20 0 0 0
Tower 0 6 11 0 -47 -37 -185 1.95 1.95 20 0 0 0
Tower 0 7 10 0 -45 -39 -185 1.95 1.95 20 0 0 0
Tower 0 7 11 0 -45 -37 -185 1.95 1.95 20 0 0 0
Tower 0 6 12 0 -47 -35 -185 1.95 1.95 20 0 0 0
Tower 0 6 13 0 -47 -33 -185 1.95 1.95 20 0 0 0
Tower 0 7 12 0 -45 -35 -185 1.95 1.95 20 0 0 0
Tower 0 7 13 0 -45 -33 -185 1.95 1.95 20 0 0 0
Tower 0 6 14 0 -47 -31 -185 1.95 1.95 20 0 0 0
Tower 0 6 15 0 -47 -29 -185 1.95 1.95 20 0 0 0
Tower 0 7 14 0 -45 -31 -185 1.95 1.95 20 0 0 0
Tower 0 7 15 0 -45 -29 -185 1.95 1.95 20 0 0 0
Tower 0 6 16 0 -47 -27 -185 1.95 1.95 20 0 0 0
Tower 0 6 17 0 -47 -25 -185 1.95 1.95 20 0 0 0
Tower 0 7 16 0 -45 -27 -185 1.95 1.95 20 0 0 0
Tower 0 7 17 0 -45 -25 -185 1.95 1.95 20 0 0 0
Tower 0 6 18 0 -47 -23 -185 1.95 1.95 20 0 0 0
Tower 0 6 19 0 -47 -21 -185 1.95 1.95 20 0 0 0
Tower 0 7 18 0 -45 -23 -185 1.95 1.95 20 0 0 0
Tower 0 7 19 0 -45 -21 -185 1.95 1.95 20 0 0 0
Tower 0 6 20 0 -47 -19 -185 1.95 1.95 20 0 0 0
Tower 0 6 21 0 -47 -17 -185 1.95 1.95 20 0 0 0
Tower 0 7 20 0 -45 -19 -185 1.95 1.95 20 0 0 0
Tower 0 7 21 0 -45 -17 -185 1.95 1.95 20 0 0 0
Tower 0 6 22 0 -47 -15 -185 1.95 1.95 20 0 0 0
Tower 0 6 23 0 -47 -13 -185 1.95 1.95 20 0 0 0
Tower 0 7 22 0 -45 -15 -185 1.95 1.95 20 0 0 0
Tower 0 7 23 0 -45 -13 -185 1.95 1.95 20 0 0 0
Tower 0 6 24 0 -47 -11 -185 1.95 1.95 20 0 0 0
Tower 0 6 25 0 -47 -9 -185 1.95 1.95 20 0 0 0
Tower 0 7 24 0 -45 -11 -185 1.95 1.95 20 0 0 0
Tower 0 7 25 0 -45 -9 -185 1.95 1.95 20 0 0 0
Tower 0 6 26 0 -47 -7 -185 1.95 1.95 20 0 0 0
Tower 0 6 27 0 -47 -5 -185 1.95 1.95 20 0 0 0
Tower 0 7 26 0 -45 -7 -185 1.95 1.95 20 0 0 0
Tower 0 7 27 0 -45 -5 -185 1.95 1.95 20 0 0 0
Tower 0 6 28 0 -47 -3 -185 1.95 1.95 20 0 0 0
Tower 0 6 29 0 -47 -1 -185 1.95 1.95 20 0 0 0
Tower 0 7 28 0 -45 -3 -185 1.95 1.95 20 0 0 0
Tower 0 7 29 0 -45 -1 -185 1.95 1.95 20 0 0 0
Tower 0 6 30 0 -47 1 -185 1.95 1.95 20 0 0 0
Tower 0 6 31 0 -47 3 -185 1.95 1.95 20 0 0 0
Tower 0 7 30 0 -45 1 -185 1.95 1.95 20 0 0 0
Tower 0 7 31 0 -45 3 -185 1.95 1.95 20 0 0 0
Tower 0 6 32 0 -47 5 -185 1.95 1.95 20 0 0 0
Tower 0 6 33 0 -47 7 -185 1.95 1.95 20 0 0 0
Tower 0 7 32 0 -45 5 -185 1.95 1.95 20 0 0 0
Tower 0 7 33 0 -45 7 -185 1.95 1.95 20 0 0 0
Tower 0 6 34 0 -47 9 -185 1.95 1.95 20 0 0 0
Tower 0 6 35 0 -47 11 -185 1.95 1.95 20 0 0 0
Tower 0 7 34 0 -45 9 -185 1.95 1.95 20 0 0 0
Tower 0 7 35 0 -45 11 -185 1.95 1.95 20 0 0 0
