Gtype 1
Gr1_inner 53
Gr1_outer 75
Gr2_inner 53
Gr2_outer 75
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 5 19 0 -56 0 -210 3.8 3.8 40 0 0 0
Tower 0 5 20 0 -56 4 -210 3.8 3.8 40 0 0 0
Tower 0 5 21 0 -56 8 -210 3.8 3.8 40 0 0 0
Tower 0 5 22 0 -56 12 -210 3.8 3.8 40 0 0 0
Tower 0 5 23 0 -56 16 -210 3.8 3.8 40 0 0 0
Tower 0 5 24 0 -56 20 -210 3.8 3.8 40 0 0 0
Tower 0 5 25 0 -56 24 -210 3.8 3.8 40 0 0 0
Tower 0 5 26 0 -56 28 -210 3.8 3.8 40 0 0 0
Tower 0 5 27 0 -56 32 -210 3.8 3.8 40 0 0 0
Tower 0 5 28 0 -56 36 -210 3.8 3.8 40 0 0 0
Tower 0 5 29 0 -56 40 -210 3.8 3.8 40 0 0 0
Tower 0 5 30 0 -56 44 -210 3.8 3.8 40 0 0 0
Tower 0 5 31 0 -56 48 -210 3.8 3.8 40 0 0 0
Tower 0 6 6 0 -52 -52 -210 3.8 3.8 40 0 0 0
Tower 0 6 7 0 -52 -48 -210 3.8 3.8 40 0 0 0
Tower 0 6 8 0 -52 -44 -210 3.8 3.8 40 0 0 0
Tower 0 6 9 0 -52 -40 -210 3.8 3.8 40 0 0 0
Tower 0 6 10 0 -52 -36 -210 3.8 3.8 40 0 0 0
Tower 0 6 11 0 -52 -32 -210 3.8 3.8 40 0 0 0
Tower 0 6 12 0 -52 -28 -210 3.8 3.8 40 0 0 0
Tower 0 6 13 0 -52 -24 -210 3.8 3.8 40 0 0 0
Tower 0 6 14 0 -52 -20 -210 3.8 3.8 40 0 0 0
Tower 0 6 15 0 -52 -16 -210 3.8 3.8 40 0 0 0
Tower 0 6 16 0 -52 -12 -210 3.8 3.8 40 0 0 0
Tower 0 6 22 0 -52 12 -210 3.8 3.8 40 0 0 0
Tower 0 6 23 0 -52 16 -210 3.8 3.8 40 0 0 0
Tower 0 6 24 0 -52 20 -210 3.8 3.8 40 0 0 0
Tower 0 6 25 0 -52 24 -210 3.8 3.8 40 0 0 0
Tower 0 6 26 0 -52 28 -210 3.8 3.8 40 0 0 0
Tower 0 6 27 0 -52 32 -210 3.8 3.8 40 0 0 0
Tower 0 6 28 0 -52 36 -210 3.8 3.8 40 0 0 0
Tower 0 6 29 0 -52 40 -210 3.8 3.8 40 0 0 0
Tower 0 6 30 0 -52 44 -210 3.8 3.8 40 0 0 0
Tower 0 6 31 0 -52 48 -210 3.8 3.8 40 0 0 0
Tower 0 6 32 0 -52 52 -210 3.8 3.8 40 0 0 0
Tower 0 7 5 0 -48 -56 -210 3.8 3.8 40 0 0 0
Tower 0 7 6 0 -48 -52 -210 3.8 3.8 40 0 0 0
Tower 0 7 7 0 -48 -48 -210 3.8 3.8 40 0 0 0
Tower 0 7 8 0 -48 -44 -210 3.8 3.8 40 0 0 0
Tower 0 7 9 0 -48 -40 -210 3.8 3.8 40 0 0 0
Tower 0 7 10 0 -48 -36 -210 3.8 3.8 40 0 0 0
Tower 0 7 11 0 -48 -32 -210 3.8 3.8 40 0 0 0
Tower 0 7 12 0 -48 -28 -210 3.8 3.8 40 0 0 0
Tower 0 7 13 0 -48 -24 -210 3.8 3.8 40 0 0 0
Tower 0 7 25 0 -48 24 -210 3.8 3.8 40 0 0 0
Tower 0 7 26 0 -48 28 -210 3.8 3.8 40 0 0 0
Tower 0 7 27 0 -48 32 -210 3.8 3.8 40 0 0 0
Tower 0 7 28 0 -48 36 -210 3.8 3.8 40 0 0 0
Tower 0 7 29 0 -48 40 -210 3.8 3.8 40 0 0 0
Tower 0 7 30 0 -48 44 -210 3.8 3.8 40 0 0 0
Tower 0 7 31 0 -48 48 -210 3.8 3.8 40 0 0 0
Tower 0 7 32 0 -48 52 -210 3.8 3.8 40 0 0 0
Tower 0 7 33 0 -48 56 -210 3.8 3.8 40 0 0 0
Tower 0 8 4 0 -44 -60 -210 3.8 3.8 40 0 0 0
Tower 0 8 5 0 -44 -56 -210 3.8 3.8 40 0 0 0
Tower 0 8 6 0 -44 -52 -210 3.8 3.8 40 0 0 0
Tower 0 8 7 0 -44 -48 -210 3.8 3.8 40 0 0 0
Tower 0 8 8 0 -44 -44 -210 3.8 3.8 40 0 0 0
Tower 0 8 9 0 -44 -40 -210 3.8 3.8 40 0 0 0
Tower 0 8 10 0 -44 -36 -210 3.8 3.8 40 0 0 0
Tower 0 8 11 0 -44 -32 -210 3.8 3.8 40 0 0 0
Tower 0 8 27 0 -44 32 -210 3.8 3.8 40 0 0 0
Tower 0 8 28 0 -44 36 -210 3.8 3.8 40 0 0 0
Tower 0 8 29 0 -44 40 -210 3.8 3.8 40 0 0 0
Tower 0 8 30 0 -44 44 -210 3.8 3.8 40 0 0 0
Tower 0 8 31 0 -44 48 -210 3.8 3.8 40 0 0 0
Tower 0 8 32 0 -44 52 -210 3.8 3.8 40 0 0 0
Tower 0 8 33 0 -44 56 -210 3.8 3.8 40 0 0 0
Tower 0 8 34 0 -44 60 -210 3.8 3.8 40 0 0 0
Tower 0 9 4 0 -40 -60 -210 3.8 3.8 40 0 0 0
Tower 0 9 5 0 -40 -56 -210 3.8 3.8 40 0 0 0
Tower 0 9 6 0 -40 -52 -210 3.8 3.8 40 0 0 0
Tower 0 9 7 0 -40 -48 -210 3.8 3.8 40 0 0 0
Tower 0 9 8 0 -40 -44 -210 3.8 3.8 40 0 0 0
Tower 0 9 9 0 -40 -40 -210 3.8 3.8 40 0 0 0
Tower 0 9 10 0 -40 -36 -210 3.8 3.8 40 0 0 0
Tower 0 9 28 0 -40 36 -210 3.8 3.8 40 0 0 0
Tower 0 9 29 0 -40 40 -210 3.8 3.8 40 0 0 0
Tower 0 9 30 0 -40 44 -210 3.8 3.8 40 0 0 0
Tower 0 9 31 0 -40 48 -210 3.8 3.8 40 0 0 0
Tower 0 9 32 0 -40 52 -210 3.8 3.8 40 0 0 0
Tower 0 9 33 0 -40 56 -210 3.8 3.8 40 0 0 0
Tower 0 9 34 0 -40 60 -210 3.8 3.8 40 0 0 0
Tower 0 10 3 0 -36 -64 -210 3.8 3.8 40 0 0 0
Tower 0 10 4 0 -36 -60 -210 3.8 3.8 40 0 0 0
Tower 0 10 5 0 -36 -56 -210 3.8 3.8 40 0 0 0
Tower 0 10 6 0 -36 -52 -210 3.8 3.8 40 0 0 0
Tower 0 10 7 0 -36 -48 -210 3.8 3.8 40 0 0 0
Tower 0 10 8 0 -36 -44 -210 3.8 3.8 40 0 0 0
Tower 0 10 9 0 -36 -40 -210 3.8 3.8 40 0 0 0
Tower 0 10 29 0 -36 40 -210 3.8 3.8 40 0 0 0
Tower 0 10 30 0 -36 44 -210 3.8 3.8 40 0 0 0
Tower 0 10 31 0 -36 48 -210 3.8 3.8 40 0 0 0
Tower 0 10 32 0 -36 52 -210 3.8 3.8 40 0 0 0
Tower 0 10 33 0 -36 56 -210 3.8 3.8 40 0 0 0
Tower 0 10 34 0 -36 60 -210 3.8 3.8 40 0 0 0
Tower 0 10 35 0 -36 64 -210 3.8 3.8 40 0 0 0
Tower 0 11 3 0 -32 -64 -210 3.8 3.8 40 0 0 0
Tower 0 11 4 0 -32 -60 -210 3.8 3.8 40 0 0 0
Tower 0 11 5 0 -32 -56 -210 3.8 3.8 40 0 0 0
Tower 0 11 6 0 -32 -52 -210 3.8 3.8 40 0 0 0
Tower 0 11 7 0 -32 -48 -210 3.8 3.8 40 0 0 0
Tower 0 11 8 0 -32 -44 -210 3.8 3.8 40 0 0 0
Tower 0 11 30 0 -32 44 -210 3.8 3.8 40 0 0 0
Tower 0 11 31 0 -32 48 -210 3.8 3.8 40 0 0 0
Tower 0 11 32 0 -32 52 -210 3.8 3.8 40 0 0 0
Tower 0 11 33 0 -32 56 -210 3.8 3.8 40 0 0 0
Tower 0 11 34 0 -32 60 -210 3.8 3.8 40 0 0 0
Tower 0 11 35 0 -32 64 -210 3.8 3.8 40 0 0 0
Tower 0 12 2 0 -28 -68 -210 3.8 3.8 40 0 0 0
Tower 0 12 3 0 -28 -64 -210 3.8 3.8 40 0 0 0
Tower 0 12 4 0 -28 -60 -210 3.8 3.8 40 0 0 0
Tower 0 12 5 0 -28 -56 -210 3.8 3.8 40 0 0 0
Tower 0 12 6 0 -28 -52 -210 3.8 3.8 40 0 0 0
Tower 0 12 7 0 -28 -48 -210 3.8 3.8 40 0 0 0
Tower 0 12 31 0 -28 48 -210 3.8 3.8 40 0 0 0
Tower 0 12 32 0 -28 52 -210 3.8 3.8 40 0 0 0
Tower 0 12 33 0 -28 56 -210 3.8 3.8 40 0 0 0
Tower 0 12 34 0 -28 60 -210 3.8 3.8 40 0 0 0
Tower 0 12 35 0 -28 64 -210 3.8 3.8 40 0 0 0
Tower 0 12 36 0 -28 68 -210 3.8 3.8 40 0 0 0
Tower 0 13 2 0 -24 -68 -210 3.8 3.8 40 0 0 0
Tower 0 13 3 0 -24 -64 -210 3.8 3.8 40 0 0 0
Tower 0 13 4 0 -24 -60 -210 3.8 3.8 40 0 0 0
Tower 0 13 5 0 -24 -56 -210 3.8 3.8 40 0 0 0
Tower 0 13 6 0 -24 -52 -210 3.8 3.8 40 0 0 0
Tower 0 13 7 0 -24 -48 -210 3.8 3.8 40 0 0 0
Tower 0 13 31 0 -24 48 -210 3.8 3.8 40 0 0 0
Tower 0 13 32 0 -24 52 -210 3.8 3.8 40 0 0 0
Tower 0 13 33 0 -24 56 -210 3.8 3.8 40 0 0 0
Tower 0 13 34 0 -24 60 -210 3.8 3.8 40 0 0 0
Tower 0 13 35 0 -24 64 -210 3.8 3.8 40 0 0 0
Tower 0 13 36 0 -24 68 -210 3.8 3.8 40 0 0 0
Tower 0 14 1 0 -20 -72 -210 3.8 3.8 40 0 0 0
Tower 0 14 2 0 -20 -68 -210 3.8 3.8 40 0 0 0
Tower 0 14 3 0 -20 -64 -210 3.8 3.8 40 0 0 0
Tower 0 14 4 0 -20 -60 -210 3.8 3.8 40 0 0 0
Tower 0 14 5 0 -20 -56 -210 3.8 3.8 40 0 0 0
Tower 0 14 6 0 -20 -52 -210 3.8 3.8 40 0 0 0
Tower 0 14 32 0 -20 52 -210 3.8 3.8 40 0 0 0
Tower 0 14 33 0 -20 56 -210 3.8 3.8 40 0 0 0
Tower 0 14 34 0 -20 60 -210 3.8 3.8 40 0 0 0
Tower 0 14 35 0 -20 64 -210 3.8 3.8 40 0 0 0
Tower 0 14 36 0 -20 68 -210 3.8 3.8 40 0 0 0
Tower 0 15 1 0 -16 -72 -210 3.8 3.8 40 0 0 0
Tower 0 15 2 0 -16 -68 -210 3.8 3.8 40 0 0 0
Tower 0 15 3 0 -16 -64 -210 3.8 3.8 40 0 0 0
Tower 0 15 4 0 -16 -60 -210 3.8 3.8 40 0 0 0
Tower 0 15 5 0 -16 -56 -210 3.8 3.8 40 0 0 0
Tower 0 15 6 0 -16 -52 -210 3.8 3.8 40 0 0 0
Tower 0 15 32 0 -16 52 -210 3.8 3.8 40 0 0 0
Tower 0 15 33 0 -16 56 -210 3.8 3.8 40 0 0 0
Tower 0 15 34 0 -16 60 -210 3.8 3.8 40 0 0 0
Tower 0 15 35 0 -16 64 -210 3.8 3.8 40 0 0 0
Tower 0 15 36 0 -16 68 -210 3.8 3.8 40 0 0 0
Tower 0 16 1 0 -12 -72 -210 3.8 3.8 40 0 0 0
Tower 0 16 2 0 -12 -68 -210 3.8 3.8 40 0 0 0
Tower 0 16 3 0 -12 -64 -210 3.8 3.8 40 0 0 0
Tower 0 16 4 0 -12 -60 -210 3.8 3.8 40 0 0 0
Tower 0 16 5 0 -12 -56 -210 3.8 3.8 40 0 0 0
Tower 0 16 6 0 -12 -52 -210 3.8 3.8 40 0 0 0
Tower 0 16 32 0 -12 52 -210 3.8 3.8 40 0 0 0
Tower 0 16 33 0 -12 56 -210 3.8 3.8 40 0 0 0
Tower 0 16 34 0 -12 60 -210 3.8 3.8 40 0 0 0
Tower 0 16 35 0 -12 64 -210 3.8 3.8 40 0 0 0
Tower 0 16 36 0 -12 68 -210 3.8 3.8 40 0 0 0
Tower 0 17 1 0 -8 -72 -210 3.8 3.8 40 0 0 0
Tower 0 17 2 0 -8 -68 -210 3.8 3.8 40 0 0 0
Tower 0 17 3 0 -8 -64 -210 3.8 3.8 40 0 0 0
Tower 0 17 4 0 -8 -60 -210 3.8 3.8 40 0 0 0
Tower 0 17 5 0 -8 -56 -210 3.8 3.8 40 0 0 0
Tower 0 17 33 0 -8 56 -210 3.8 3.8 40 0 0 0
Tower 0 17 34 0 -8 60 -210 3.8 3.8 40 0 0 0
Tower 0 17 35 0 -8 64 -210 3.8 3.8 40 0 0 0
Tower 0 17 36 0 -8 68 -210 3.8 3.8 40 0 0 0
Tower 0 18 1 0 -4 -72 -210 3.8 3.8 40 0 0 0
Tower 0 18 2 0 -4 -68 -210 3.8 3.8 40 0 0 0
Tower 0 18 3 0 -4 -64 -210 3.8 3.8 40 0 0 0
Tower 0 18 4 0 -4 -60 -210 3.8 3.8 40 0 0 0
Tower 0 18 5 0 -4 -56 -210 3.8 3.8 40 0 0 0
Tower 0 18 33 0 -4 56 -210 3.8 3.8 40 0 0 0
