Gtype 1
Gr1_inner 84
Gr1_outer 132
Gr2_inner 84
Gr2_outer 132
Gdz 40
Gx0 0
Gy0 0
Gz0 0
Grot_x 0
Grot_y 0
Grot_z 0
Gcrystal_dx 3.8
Gcrystal_dy 3.8
Gcrystal_dz 40
Gcarbon_gap 0.1
Gair_gap 0
Gmaterial 7.5
Gcolor_R 1
Gcolor_G 0
Gcolor_B 0
#Tower: type, idx_j, idx_k, idx_l, x[cm], y[cm], z[cm], dx[cm], dy[cm], dz[cm], rot_x, rot_y, rot_z
Tower 0 3 40 0 -118 30 -260 3.8 3.8 40 0 0 0
Tower 0 3 41 0 -118 34 -260 3.8 3.8 40 0 0 0
Tower 0 3 42 0 -118 38 -260 3.8 3.8 40 0 0 0
Tower 0 3 43 0 -118 42 -260 3.8 3.8 40 0 0 0
Tower 0 3 44 0 -118 46 -260 3.8 3.8 40 0 0 0
Tower 0 3 45 0 -118 50 -260 3.8 3.8 40 0 0 0
Tower 0 3 46 0 -118 54 -260 3.8 3.8 40 0 0 0
Tower 0 3 47 0 -118 58 -260 3.8 3.8 40 0 0 0
Tower 0 4 16 0 -114 -66 -260 3.8 3.8 40 0 0 0
Tower 0 4 17 0 -114 -62 -260 3.8 3.8 40 0 0 0
Tower 0 4 18 0 -114 -58 -260 3.8 3.8 40 0 0 0
Tower 0 4 19 0 -114 -54 -260 3.8 3.8 40 0 0 0
Tower 0 4 20 0 -114 -50 -260 3.8 3.8 40 0 0 0
Tower 0 4 21 0 -114 -46 -260 3.8 3.8 40 0 0 0
Tower 0 4 22 0 -114 -42 -260 3.8 3.8 40 0 0 0
Tower 0 4 23 0 -114 -38 -260 3.8 3.8 40 0 0 0
Tower 0 4 24 0 -114 -34 -260 3.8 3.8 40 0 0 0
Tower 0 4 25 0 -114 -30 -260 3.8 3.8 40 0 0 0
Tower 0 4 26 0 -114 -26 -260 3.8 3.8 40 0 0 0
Tower 0 4 27 0 -114 -22 -260 3.8 3.8 40 0 0 0
